Chemical Engineering                    ,"
                
                    CH E      5. Introduction to Chemical Engineering Design                                                                                                                                                                                      
                
                
		
                    
                        
                            (3)
                            DOHERTY, SHELL, CHADA
                            
                        
                        
                            
                            Enrollment Comments: Cross-listed with ChE W 5
                        
                    
                    
                        Introduction to the design and analysis of processes involving chemical change in the context of chemical and biomolecular engineering. Students learn mathematical, empirical, and conceptual strategies to analyze chemical processes to assess product quality, economics, safety, and   environmental issues. Focus topics include an overview of chemical and biomolecular engineering, evaluating and analyzing data, flowsheets, material and energy balances, economics, and unit operations.                                                                                                                                                                                                                                                                         
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     260A. 
                        Principles of Quantum Electronics                                                                                                                                                                                                
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 144 or 162C.                                                                                                                                                                                                                                                                                                                                                                       
                            
                    
                        Energy levels in atoms, ions, and molecules. Interaction   between         radiation and quantized systems. Stimulated   emission devices. Optical    resonators. Lasers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     261. 
                        INTRODUCTION TO NANOPHOTONICS                                                                                                                                                                                                    
                
                
		
                    (4)
                        SCHULLER 
                            
                            Enrollment Comments: OPEN TO ALL GRADUATE STUDENTS IN SCIENCE, TECHNOLOGY AND ENGINEERING       DISCIPLINES.
                    
                        Covers the fundamentals of Nanophotonics. Focuses on   reading and         evaluating   contemporary literature on nanophotonics research.   Students work within 3-  person groups to read and understand seminal papers in     this area. Once a   week a group is chosen at random to lead an in-class   discussion on the   paper(s) assigned for that week. Example topics        include   surface plasmons,   near-field microscopy, Purcell enhancements, photonic   crystals, multipole   expansions, and metamaterials.                                                                                                                                                                                                                                             
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     262. 
                        Physics of Solar Cells                                                                                                                                                                                                           
                
                
		
                    (4)
                        SCHULLER 
                            
                            Enrollment Comments: OPEN TO GRADUATE STUDENTS IN THE SCIENCE, TECHNOLOGY AND   ENGINEERING     DISCIPLINES.
                    
                        Covers the fundamentals of Solar Cells, building to an   understanding     of next-  generation Solar Cell concepts. Focuses on reading and           evaluating   contemporary literature on Solar Cell research. Students      work within   3-person   groups to read and understand seminal papers in   Solar   Cell research.   Once a   week a group is chosen at random to lead an in-class   discussion on   the   paper(s) assigned for that week.       Example topics include:   perovskite,   quantum   dot, hot electron, or    intermediate band solar cells,   multiple exciton   generation, thermal    photovoltiacs, light trapping,   efficiency limits,   etc.                                                                                            
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     265. 
                        ELECTRONIC AND PHOTONIC INTEGRATION AND PACKAGING                                                                                                                                                                                
                
                
		
                    (4)
                        SCHOW 
                             Prerequisite: Knowledge of photonic (ECE 227A/B) and electronic (ECE 221A) devices and basics of fiber optic links (ECE 228A/B) preferable, but not required.                                                                                                                                                                                                                                        
                            Recommended Preparation:  Knowledge of photonic (ECE 227A.B) and electronic (ECE 221A) devices and basics of fiber optic links (ECE 228A,B) preferable, but not required.
                    
                        Focus on the integration of electronics and photonics to realize functional subsystems.  High-speed link design and performance verification, characterization of high-speed signals, data encoding, equalization techniques, equivalent circuit models for photonic devices and packages, co-simulation of circuits and photonic devices.                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     267. 
                        Confined Electrons and Photons in Semiconductor Structures                                                                                                                                                                       
                
                
		
                    (3)
                        PETROFF 
                             Prerequisite: Materials 162A-B or ECE 162A-B.                                                                                                                                                                                                                                                                                                                                                        
                            Enrollment Comments: Same course as Materials 267.
                    
                        The properties of 1D, 2D and 3D confined electrons in semiconductor are    reviewed.  Properties of photons in microcavities and photonic crystals    are introduced.  Applications of photonic crystals to light extraction and modifications of the emitter properties are developed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     269. 
                        Network Systems: Dynamics and Control                                                                                                                                                                                            
                
                
		
                    (4)
                        BULLO 
                            
                            
                    
                        Motivating socio/economic networks, power grids, multi-  agent robotics.   Perron-  Frobenius matrix theory and algebraic graph theory.   Fundamental dynamics in   networks: averaging dynamics in discrete and continuous      time; positive and   compartmental systems; robotic coordination problems; coupled oscillator   systems;   virus propagation models; population       dynamic models.                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     270. 
                        NONCOOPERATIVE GAME THEORY                                                                                                                                                                                                       
                
                
		
                    (4)
                        HESPANHA 
                            
                            
                    
                        Formulation of problems as mathematical games and provides the basic tools to   solve them. Covers both static and dynamic games. Intended for        graduate   students (but is not restricted to) in communications,          controls, signal   processing, and computer science.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     271A. 
                        Principles of Optimization                                                                                                                                                                                                       
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 210A (may be taken concurrently).                                                                                                                                                                                                                                                                                                                                                  
                            
                    
                        Linear programming: simplex and revised simplex method, duality theory,    primal-dual algorithms, Karmarkar's algorithm. Network flow problems:      max-flow/min-cut theorem, Ford-Fulkerson algorithm, shortest path          algorithms. Complexity and NP-completeness theory: the classes of P and    NP,reductions between np-complete problems, pseudopolynomial and           approximationalgorithms.                                                                                                                                                                                                                                                                                                                                                               
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     271C. 
                        Optimal Control of Dynamic Systems                                                                                                                                                                                               
                
                
		
                    (4)
                        BAMIEH 
                             Prerequisite: ECE 230A or ME 243A or equivalent                                                                                                                                                                                                                                                                                                                                                      
                            Enrollment Comments: THIS COURSE IS CROSS-LISTED WITH ME 254.
                    
                        Calculus of variations and Gateaux and Frechet derivatives. Optimization in   dynamic systems and Pontryagin?s principle. Invariant Imbedding and   deterministic and stochastic Dynamic Programming. Numerical solutions of optimal control problems. Min-max problems and differential games. Extensive treatment of Linear Quadratic Problems.                                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     272A. 
                        Machine Learning in Design and Test Automation                                                                                                                                                                                   
                
                
		
                    (4)
                        LI C. WANG 
                             Prerequisite: ECE 152A or equivalent.                                                                                                                                                                                                                                                                                                                                                                
                            Enrollment Comments: Concurrently offered with ECE 157A.Repeat Comments: Not open to those who have taken ECE 157A.
                    
                        A introduction to design and test automation processes and how machine learning can be applied to improve certain steps in those processes. Basic machine learning concepts and practices to apply machine learning in those design and test automation steps are discussed. Graduate students are are expected to be able to explore an assignment and discover a problem and then find a way to improve the outcome, hence developing their research ability.                                                                                                                                                                                                                                                                                                               
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     272B. 
                        Artificial Intelligence in Design and Test Automation                                                                                                                                                                            
                
                
		
                    (4)
                        LI C. WANG 
                             Prerequisite: ECE 272A.                                                                                                                                                                                                                                                                                                                                                                              
                            Enrollment Comments: Concurrently offered with ECE 157B.Repeat Comments: Not open for credit for those who have taken ECE 157B.
                    
                        An introduction of artificial intelligence applied to improve design and test processes. The various components to build an artificial intelligence system to assist engineering in design and test are discussed. Theoretical foundation related to those components are also discussed. Graduate students are are expected to be able to explore an assignment and discover a problem and then find a way to improve the outcome, hence developing their research ability.                                                                                                                                                                                                                                                                                                  
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     273. 
                        TENSOR COMPUTATION FOR MACHINE LEARNING AND BIG DATA                                                                                                                                                                             
                
                
		
                    (4)
                        ZHANG 
                             Prerequisite: Solid background in linear algebra and statitics/probability, basic programing skills.                                                                                                                                                                                                                                                                                                 
                            
                    
                        Tensors have been increasingly used in data-intensive fields such as artificial intelligence and quantum computing. This course covers the notations, optimization and statistical methods of tensor computation, and their applications in machine learning (mainly deep learning) and quantum computing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     277. 
                        Pattern Recognition                                                                                                                                                                                                              
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 130C and 139.                                                                                                                                                                                                                                                                                                                                                                      
                            
                    
                        Principles and design of pattern recognition systems.   Statistical        classifiers: discriminant functions; bayes,   minimum risk, k-nearest      neighbors, perceptrons.   Clustering   and estimation; criteria; k-means,  fuzzy, hierarchal,   graph-  theoretic, simulated and determininstic       annealing;   maximum   likelihood and bayesian methods: nonparametric      methods.   Overview of applications.                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     278A. 
                        Digital Image Processing                                                                                                                                                                                                         
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 158 or ECE 178.                                                                                                                                                                                                                                                                                                                                                                    
                            
                    
                        Two-dimensional signals and systems. Two-dimension al fourier and z-       transforms. Discrete fourier transform, two-dimensional digital filters.   Image   processing basics, image enhancement and restoration. Special      image   processing software available for laboratory experimentation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     278B. 
                        Principles of Biological Microscopy                                                                                                                                                                                              
                
                
		
                    (4)
                        LIEBLING 
                             Prerequisite: ECE 158 or ECE 178 or consent of instructor.                                                                                                                                                                                                                                                                                                                                           
                            
                    
                        Introduction to image acquisition, digital processing and analysis for     biological   microscopy. Design of modern optical microscopes, Fourier     optics, point spread   function and resolution, fluorescence principles    and applications, spectral   unmixing, colocalization, deconvolution,      coherent imaging, and super-  resolution. Hands-on computer assignments.                                                                                                                                                                                                                                                                                                                                                                                          
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     278C. 
                        Imaging Systems                                                                                                                                                                                                                  
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 158 and 178.                                                                                                                                                                                                                                                                                                                                                                       
                            
                    
                        Generalized holography, backward techniques, resolution limit, x-ray       tomography, diffraction tomography, NMR imaging, synthetic-aperture radar, active sonar imaging, acoustic microscopy, imaging algorithms, motion      estimation and tracking.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     279. 
                        Computer System Performance Evaluation                                                                                                                                                                                           
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 139, ECE 154A, and Computer Science 170.                                                                                                                                                                                                                                                                                                                                           
                            
                    
                        Overview of the evaluation of computer system   performance. Measurement,  simulation, and analytic techniques for performance   analysis. System     work   load   characterization. Examples of performance evaluation for     system selection,   tuning, and design. Evaluation of program performance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     281. 
                        Advanced Topics in Computer Vision                                                                                                                                                                                               
                
                
		
                    (4)
                        WANG 
                             Prerequisite: ECE OR CMPSC 181.                                                                                                                                                                                                                                                                                                                                                                      
                            Enrollment Comments: Same course as Computer Science 281.
                    
                        Topics in Computer Vision, including imaging and multi-view geometry; image and video segmentation; object detection, localization, and recognition; video activity recognition; machine learning models and methods applied to computer vision.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     281B. 
                        Advanced Topics in Computer Vision                                                                                                                                                                                               
                
                
		
                    (4)
                        TURK, WANG 
                             Prerequisite: ECE OR CMPSC 181.                                                                                                                                                                                                                                                                                                                                                                      
                            Enrollment Comments: Same course as Computer Science 281B.
                    
                        Advanced topics in computer vision: image sequence analysis, spatio- temporal   filtering, camera calibration and hand-eye coordination, robot navigation, shape   representation, physically-based modeling, regularization theory, multi- sensory fusion, biological   models, expert vision systems, and other topics selected from recent research   papers.                                                                                                                                                                                                                                                                                                                                                                                                              
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     282. 
                        Error Correcting Codes                                                                                                                                                                                                           
                
                
		
                    (4)
                        STAFF 
                             Prerequisite: ECE 130C or ECE 139.                                                                                                                                                                                                                                                                                                                                                                   
                            
                    
                        Principles and techniques for combating channel errors in   data           transmission or   storage. Introduction to galois fields. Linear           blockcodes   (particularly   hamming,   BCH, reed-solomon). Convolutional  codes. Encoding and   decoding   algorithms   (including spectral methods, maximum likelihood and   viterbi decoding.)                                                                                                                                                                                                                                                                                                                                                                                                                       
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     283. 
                        MACHINE LEARNING: A SIGNAL PROCESSING PERSPECTIVE                                                                                                                                                                                
                
                
		
                    (4)
                        MADHOW 
                             Prerequisite: ECE 235.                                                                                                                                                                                                                                                                                                                                                                               
                            
                    
                        Machine learning algorithms from a signal processing   viewpoint;          unsupervised learning (K-means, deterministic annealing,   EM algorithm);  supervised learning (Support Vector Machines, neural   networks);          regression; Bayesian inference and tracking using Markov   chain Monte     Carlo   and sequential Monte Carlo (particle filter) techniques.                                                                                                                                                                                                                                                                                                                                                                                                  
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     284. 
                        THEORETICAL MACHINE LEARNING                                                                                                                                                                                                     
                
                
		
                    (4)
                        PEDARSANI 
                             Prerequisite: ECE 235 or equivalent.                                                                                                                                                                                                                                                                                                                                                                 
                            Recommended Preparation:  ECE 235 or equivalent.
                    
                        This course studies the mathematical foundations of machine learning, and focuses on understanding the trade-offs between statistical accuracy, scalability, and computation efficiency of distributed machine learning and optimization algorithms. Topics include empirical risk, convexity in learning, convergence analysis of gradient descent algorithm, stochastic gradient descent, neural networks, and reinforcement learning.                                                                                                                                                                                                                                                                                                                                      
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     285. 
                        ADVANCED IMAGE SYNTHESIS                                                                                                                                                                                                         
                
                
		
                    (4)
                        SEN 
                             Prerequisite: Computer Graphics desired but not necessary                                                                                                                                                                                                                                                                                                                                            
                            
                    
                        Theory and design of rendering systems for high-end image   synthesis and  modeling physically-based light transport. Topics include   REYES-style    architectures, Monte Carlo algorithms, variance reduction   methods, path  tracing, photon mapping, reflection and volumetric light   transport.      Students   must have good software engineering skills.                                                                                                                                                                                                                                                                                                                                                                                                            
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     289. 
                        INTRODUCTION TO ROBOTICS: DYNAMICS AND CONTROL                                                                                                                                                                                   
                
                
		
                    (5)
                        BYL 
                             Prerequisite: ECE 130A or ME 155A (may be taken concurrently).                                                                                                                                                                                                                                                                                                                                       
                            Enrollment Comments: Concurrently offered with ECE 179D.
                    
                        Dynamic modeling and control methods for robotic systems.   Lagrangian method for deriving equations of motion, introduction to the Jacobian, and modeling and   control of forces and contact dynamics at a robotic end   effector. Laboratories encourage a problem-solving approach to control.                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     295. 
                        Group Studies: Controls, Dynamical Systems, and Computation                                                                                                                                                                      
                
                
		
                    (1)
                        STAFF 
                            
                            Enrollment Comments: Same course as Chemical Engineering 295, Computer Science 592, and ME 295.Repeat Comments: Department:   ECE, ChE, and CMPSC will submit their own MCA for the        cross-lists for this course.
                    
                        A series of weekly lectures given by university staff and outside experts  in the fields of control systems, dynamical systems, and computation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     493. 
                        Internship in Industry                                                                                                                                                                                                           
                
                
		
                    (1-12)
                        STAFF 
                             Prerequisite: Prior departmental approval needed. ECE majors only.                                                                                                                                                                                                                                                                                                                                   
                            
                    
                        Special projects for selected students. Offered in conjunction with        engineering practice in selected industrial and research firms, under      direct faculty supervision.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Electrical Computer Engineering         ,"
                
                    ECE     502. 
                        Teaching of Electrical and Computer Engineering                                                                                                                                                                                  
                
                
		
                    (1-4)
                        STAFF 
                            
                            Enrollment Comments: Open to Electrical and Computer Engineering Teaching Assistants only. No   unit credit allowed toward advanced degree.
                    
                        Procedures and techniques for teaching electrical engineering or computer  engineering gained through actual teaching of lecture courses, leading     discussion sections, and/or teaching engineering laboratories. Meetings    will be held as needed to discuss problems, methods, and procedures.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                    
                
	
            "
